step,edge_id,avg_speed,vehicle_count,occupancy,traffic_flow
100,':J30_5,0,0,0.0,0
100,':J30_7,0,0,0.0,0
100,':J30_9,0,0,0.0,0
100,':J31_0,0,0,0.0,0
100,':J31_2,0,0,0.0,0
100,':J31_3,0,0,0.0,0
100,':J31_5,0,0,0.0,0
100,':J31_6,0,0,0.0,0
100,':J31_8,0,0,0.0,0
100,':J31_9,0,0,0.0,0
100,':J32_0,0,0,0.0,0
100,':J32_2,0,0,0.0,0
100,':J32_3,0,0,0.0,0
100,':J32_5,0,0,0.0,0
100,':J32_6,0,0,0.0,0
100,':J32_8,0,0,0.0,0
100,':J32_9,0,0,0.0,0
100,':J33_0,0,0,0.0,0
100,':J33_2,0,0,0.0,0
100,':J33_3,0,0,0.0,0
100,':J33_5,0,0,0.0,0
100,':J33_6,0,0,0.0,0
100,':J33_8,0,0,0.0,0
100,':J33_9,0,0,0.0,0
100,':J34_0,0,0,0.0,0
100,':J34_1,0,0,0.0,0
100,':J39_0,0,0,0.0,0
100,':J39_11,0,0,0.0,0
100,':J39_3,0,0,0.0,0
100,':J39_6,0,0,0.0,0
100,':J39_9,0,0,0.0,0
100,':J3_0,0,0,0.0,0
100,':J3_3,0,0,0.0,0
100,':J40_0,0,0,0.0,0
100,':J40_2,0,0,0.0,0
100,':J40_3,0,0,0.0,0
100,':J40_5,0,0,0.0,0
100,':J40_6,0,0,0.0,0
100,':J40_8,0,0,0.0,0
100,':J40_9,0,0,0.0,0
100,':J45_0,0,0,0.0,0
100,':J45_3,0,0,0.0,0
100,':J4_0,0,0,0.0,0
100,':J4_12,0,0,0.0,0
100,':J4_14,0,0,0.0,0
100,':J4_15,0,0,0.0,0
100,':J4_3,0,0,0.0,0
100,':J4_5,0,0,0.0,0
100,':J4_7,0,0,0.0,0
100,':J4_9,0,0,0.0,0
100,':J7_0,0,0,0.0,0
100,':J7_2,0,0,0.0,0
100,'E0,19.991007620993848,1,0.1658913783880775,19.991007620993848
100,'E1,18.100049883243294,2,0.4183526507098279,36.20009976648659
100,'E1.596,0,0,0.0,0
100,'E10,19.83431784310669,1,0.19034512341155652,19.83431784310669
100,'E11,0,0,0.0,0
100,'E12,16.653904503208903,3,0.6685542161865847,49.961713509626705
100,'E13,0,0,0.0,0
100,'E15,0,0,0.0,0
100,'E16,0,0,0.0,0
100,'E17,0,0,0.0,0
100,'E18,0,0,0.0,0
100,'E19,17.529437545221842,2,0.8395427171583139,35.058875090443685
100,'E2,16.063086651253766,2,0.5068019484616744,32.12617330250753
100,'E2.669,0,0,0.0,0
100,'E20,0,0,0.0,0
100,'E21,0,0,0.0,0
100,'E22,0,0,0.0,0
100,'E23,0,0,0.0,0
100,'E24,0,0,0.0,0
100,'E25,0,0,0.0,0
100,'E26,0,0,0.0,0
100,'E27,0,0,0.0,0
100,'E28,0,0,0.0,0
100,'E29,0,0,0.0,0
100,'E3,0,0,0.0,0
100,'E310,13.813701779242143,1,0.3222972805780318,13.813701779242143
100,'E32,0,0,0.0,0
100,'E33,22.210839479349275,1,0.5516793769268215,22.210839479349275
100,'E34,0,0,0.0,0
100,'E35,0,0,0.0,0
100,'E36,0,0,0.0,0
100,'E37,0,0,0.0,0
100,'E38,0,0,0.0,0
100,'E39,0,0,0.0,0
